country_name,country_code,gdp_percap
Nepal,NPL,1385.91066275016
Nauru,NRU,13287.2711890938
New Zealand,NZL,48216.5095836302
OECD members,OED,44026.85925455
Oman,OMN,23665.6394740852
Other small states,OSS,16066.2729688356
Pakistan,PAK,1538.3228133171
Panama,PAN,17332.4360742988
Peru,PER,7363.27206939639
Philippines,PHL,3548.06930572116
Palau,PLW,14392.1990258461
Papua New Guinea,PNG,3101.71063200047
Poland,POL,18891.2121169279
Pre-demographic dividend,PRE,1567.28039263333
Puerto Rico,PRI,35268.0791015719
Portugal,PRT,24620.519556875
Paraguay,PRY,6205.62595379319
West Bank and Gaza,PSE,3799.95527015163
Pacific island small states,PSS,3892.77833317117
Post-demographic dividend,PST,51063.6197488498
French Polynesia,PYF,20738.6499971661
Qatar,QAT,88701.463350036
Romania,ROU,15557.8826247584
Russian Federation,RUS,15445.2421875
Rwanda,RWA,975.469315871749
South Asia,SAS,2239.51630169785
Saudi Arabia,SAU,34454.1957708412
Sudan,SDN,1046.24084472656
Senegal,SEN,1564.74522071584
Singapore,SGP,88428.7024226232
Solomon Islands,SLB,2005.4139933198
Sierra Leone,SLE,860.130884035452
El Salvador,SLV,5093.51833879776
San Marino,SMR,54264.570495898
Somalia,SOM,573.128092470162
Serbia,SRB,10022.9688543402
Sub-Saharan Africa (excluding high income),SSA,1686.89137493204
Sub-Saharan Africa,SSF,1688.40108402158
Small states,SST,14371.4935939925
Sao Tome and Principe,STP,2389.73729784737
Suriname,SUR,6084.43876736445
Slovak Republic,SVK,21342.7666714692
Slovenia,SVN,28373.8382265999
Sweden,SWE,55296.9371472535
Eswatini,SWZ,3852.08573272946
Sint Maarten (Dutch part),SXM,36476.6300833859
Seychelles,SYC,17167.1909760833
Syrian Arab Republic,SYR,1051.67149587463
Turks and Caicos Islands,TCA,26802.0673752091
Chad,TCD,671.720147647873
East Asia & Pacific (IDA & IBRD countries),TEA,10012.4494743706
Europe & Central Asia (IDA & IBRD countries),TEC,11351.0079692916
Togo,TGO,898.758154410712
Thailand,THA,6909.35997481451
Tajikistan,TJK,1052.17949484894
Turkmenistan,TKM,8156.35211950774
Latin America & the Caribbean (IDA & IBRD countries),TLA,9483.70640570626
Timor-Leste,TLS,2343.24524664152
Middle East & North Africa (IDA & IBRD countries),TMN,4032.80400418252
Tonga,TON,4933.07479143113
South Asia (IDA & IBRD),TSA,2239.51630169785
Sub-Saharan Africa (IDA & IBRD countries),TSS,1688.40108402158
Trinidad and Tobago,TTO,22004.1997884125
Tunisia,TUN,3678.40023411347
Turkiye,TUR,10674.504157865
Tuvalu,TUV,5911.32727055301
Tanzania,TZA,1207.85302734375
Uganda,UGA,963.067314117178
Ukraine,UKR,4199.6708984375
Upper middle income,UMC,10156.7047182966
Uruguay,URY,20691.9738991763
United States,USA,78035.1753604212
Uzbekistan,UZB,2578.66689394219
St. Vincent and the Grenadines,VCT,9471.14627317673
Virgin Islands (U.S.),VIR,44320.909185774
Viet Nam,VNM,4116.38576094153
Vanuatu,VUT,3265.39645133096
World,WLD,12737.3150340299
Samoa,WSM,3869.46639492144
Kosovo,XKX,5290.94747224687
"Yemen, Rep.",YEM,615.70207931388
South Africa,ZAF,6523.41097815853
Zambia,ZMB,1447.12310138035
Zimbabwe,ZWE,2040.55245910726
