time,x,y,z
0,0.01,0,0
0.002,0.009807168100708473,5.239697387209618e-4,5.125053680190539e-9
0.004,0.009628422724578036,0.0010370628816176468,2.018163159984312e-8
0.006,0.009463276959736002,0.0015400336423986984,4.45681580427327e-8
0.008,0.009311324244615891,0.0020335206161270145,7.781586076874975e-8
0.01,0.009172044812679041,0.002518350989596734,1.193598318095263e-7
0.012,0.009045042888366689,0.0029951705272708486,1.6881316580087474e-7
0.014,0.00892992333730389,0.0034646341562753094,2.2581879137074595e-7
0.016,0.008826310207117657,0.0039273766512888724,2.9006672992064397e-7
0.018000000000000002,0.00873385028356689,0.004384009051100465,3.6130085466525556e-7
0.02,0.008652207497347937,0.004835124847089426,4.3930424643274804e-7
0.022,0.008581064011836835,0.005281299033286709,5.239007493943887e-7
0.024,0.008520119646269796,0.005723088944640058,6.149527720085893e-7
0.026000000000000002,0.008469091028216184,0.0061610353757003055,7.123586306329832e-7
0.028,0.008427710948324427,0.006595663478174189,8.160505082933858e-7
0.03,0.008395727739055172,0.007027483630992184,9.259926356931515e-7
0.032,0.008372904682557325,0.007456992276560888,1.0421796804500438e-6
0.034,0.008359019446771714,0.007884672724443828,1.1646353291168827e-6
0.036000000000000004,0.008353863565192764,0.00831099589983843,1.2934110864313642e-6
0.038,0.008357241875606648,0.008736421158867616,1.4285850887480392e-6
0.04,0.00836897207351176,0.009161396946884092,1.570261276029177e-6
0.042,0.008388884255032173,0.00958636147839765,1.7185686343077646e-6
0.044,0.00841682045711833,0.010011743428090402,1.8736605121198163e-6
0.046,0.008452634242971558,0.010437962564274782,2.035714116869495e-6
0.048,0.00849619030406894,0.010865430365180508,2.2049301219772386e-6
0.05,0.008547364081565204,0.011294550614230868,2.3815323848596738e-6
0.052000000000000005,0.008606041406840185,0.011725719974513072,2.5657677711169402e-06
0.054,0.008672118160299192,0.012159328543625612,2.757906079629105e-6
0.056,0.008745499947740189,0.012595760389818777,2.9582400638888256e-6
0.058,0.008826101793567303,0.013035394070390912,3.167085545478676e-6
0.06,0.008913847848454481,0.013478603136495333,3.384781619595742e-6
0.062,0.009008671114864199,0.013925756617204117,3.611690937300921e-6
0.064,0.009110513195670971,0.014377219475142552,3.848200074022691e-6
0.066,0.009219324036178353,0.01483335308315619,4.094719987341798e-6
0.068,0.009335061695984222,0.01529451566035273,4.351686545719881e-6
0.07,0.009457692137494074,0.01576106268724873,4.619561116127723e-6
0.07200000000000001,0.009587188999475029,0.016233347363283693,4.898831306277862e-6
0.074,0.00972353341978569,0.016711720981384258,5.190011683296573e-6
0.076,0.00986671385573929,0.017196533318142207,5.493644603929495e-6
0.078,0.010016725905512407,0.01768813303407806,5.810301147243858e-6
0.08,0.010173572150214007,0.01818686804603074,6.140582100677282e-6
0.082,0.010337262003887394,0.018693085896143005,6.485119036144069e-6
0.084,0.010507811574509493,0.01920713410918834,6.84457544646329e-6
0.08600000000000001,0.010685243539156305,0.019729360532578514,7.219647942430452e-6
0.088,0.010869587017694022,0.020260113694706396,7.611067598511417e-6
0.09,0.011060877463977018,0.0207997431369044,8.019601327478151e-6
0.092,0.011259156567165396,0.021348599732512567,8.446053301352695e-6
0.094,0.011464472148655659,0.021907036042006608,8.89126664607956e-6
0.096,0.011676878084666217,0.02247540660802725,9.3561249836797e-6
0.098,0.01189643422990599,0.023054068265360404,9.841554152215781e-6
0.1,0.012123206344151679,0.023643380461934246,1.0348524086514033e-5
0.10200000000000001,0.012357266030994716,0.024243705561805,1.0878050739147237e-5
0.10400000000000001,0.012598690682716567,0.024855409148799787,1.1431198128600678e-5
0.106,0.01284756343227577,0.02547886032387021,1.2009080462593333e-5
0.108,0.013103973113996976,0.026114431991956517,1.261286433106683e-5
0.11,0.013368014226651556,0.026762501167097486,1.324377114476408e-5
0.112,0.013639786906298976,0.02742344925940935,1.3903079588898139e-5
0.114,0.013919396905240992,0.028097662354033735,1.4592128134282588e-5
0.116,0.014206955574403182,0.028785531525184035,1.531231800686288e-5
0.11800000000000001,0.014502579855745079,0.029487453101382156,1.6065115863652595e-5
0.12,0.01480639227858151,0.030203828946779716,1.6852056759538378e-5
0.122,0.015118520960597058,0.030935066755446133,1.767474737616269e-5
0.124,0.015439099615711252,0.03168158033339483,1.8534869299629983e-5
0.126,0.015768267567333592,0.032443789884527265,1.9434182500052797e-5
0.128,0.016106169766466893,0.03322212229380668,2.037452892607878e-5
0.13,0.016452956815185812,0.034017011404143226,2.1357836203101495e-5
0.132,0.01680878499580654,0.03482889831347329,2.2386121736746354e-5
0.134,0.017173816304816226,0.035658231658180516,2.3461496829249295e-5
0.136,0.017548218490446126,0.0365054678914117,2.4586170883615907e-5
0.138,0.017932165100185752,0.037371071599619686,2.576245636652582e-5
0.14,0.018325835527168065,0.03825551577375786,2.6992773271518386e-5
0.14200000000000002,0.01872941506311875,0.039159282099228435,2.8279654061032675e-5
0.14400000000000002,0.019143094957918737,0.040082861261762776,2.962574903966976e-5
0.146,0.019567072482599847,0.041026753244196135,3.1033831801620244e-5
0.148,0.02000155099774682,0.04199146763015319,3.2506805008134944e-5
0.15,0.02044674002550713,0.04297752390741868,3.404770635141068e-5
0.152,0.02090285532495911,0.043985451767621135,3.5659714685416986e-5
0.154,0.02137011897639106,0.04501579142987394,3.7346156825403546e-5
0.156,0.021848759466940655,0.046069093952757635,3.9110514364347634e-5
0.158,0.02233901177834296,0.047145921542928834,4.095643063165303e-5
0.16,0.022841117490832473,0.04824684790864013,4.2887718904603936e-5
0.162,0.023355324877032343,0.049372458565611586,4.4908369789839074e-5
