Nr;Land;Stimmenart;Bezirksart;Wahlberechtigte;Wählende;ungültig;gültig;SPD;CDU;GRÜNE;FDP;AfD;CSU;Die Linke
5;Nordrhein-Westfalen;Z;Urne;12884209;6761802;49135;6712667;1284820;1844583;748358;296319;1380245;0;617452
5;Nordrhein-Westfalen;Z;Brief;0;3825938;12471;3813467;823614;1326044;552543;166127;390134;0;259671
14;Sachsen;E;Zusammen;3186780;2584777;22002;2562775;247349;612826;129025;69629;986060;0;326830
14;Sachsen;E;Urne;3186780;1769799;15869;1753930;144842;376039;65355;44743;799164;0;206771
14;Sachsen;E;Brief;0;814978;6133;808845;102507;236787;63670;24886;186896;0;120059
14;Sachsen;Z;Zusammen;3186780;2584777;15205;2569572;217144;507247;167269;83436;958401;0;290462
14;Sachsen;Z;Urne;3186780;1769799;12299;1757500;128181;309230;86276;55604;777199;0;184196
14;Sachsen;Z;Brief;0;814978;2906;812072;88963;198017;80993;27832;181202;0;106266
6;Hessen;E;Zusammen;4341919;3608634;35802;3572832;843094;1154330;411127;128781;633669;0;256907
6;Hessen;E;Urne;4341919;2303289;24702;2278587;524686;684906;237856;81041;484574;0;184185
6;Hessen;E;Brief;0;1305345;11100;1294245;318408;469424;173271;47740;149095;0;72722
6;Hessen;Z;Zusammen;4341919;3608634;27800;3580834;657510;1033842;451510;180823;636778;0;311058
6;Hessen;Z;Urne;4341919;2303289;20775;2282514;403053;604655;260867;116026;484207;0;218000
6;Hessen;Z;Brief;0;1305345;7025;1298320;254457;429187;190643;64797;152571;0;93058
16;Thüringen;E;Zusammen;1652462;1333474;10248;1323226;131842;272827;36822;28121;512070;0;209947
16;Thüringen;E;Urne;1652462;991783;8307;983476;85741;187294;21681;20542;434068;0;143916
16;Thüringen;E;Brief;0;341691;1941;339750;46101;85533;15141;7579;78002;0;66031
16;Thüringen;Z;Zusammen;1652462;1333474;9314;1324160;115915;246065;56097;37292;510527;0;200688
16;Thüringen;Z;Urne;1652462;991783;7807;983976;76330;167113;33971;28073;432465;0;136559
16;Thüringen;Z;Brief;0;341691;1507;340184;39585;78952;22126;9219;78062;0;64129
7;Rheinland-Pfalz;E;Zusammen;3014482;2500548;27497;2473051;573461;831611;204080;83327;476014;0;123638
7;Rheinland-Pfalz;E;Urne;3014482;1357108;17292;1339816;293293;399217;102679;44581;335236;0;76270
7;Rheinland-Pfalz;E;Brief;0;1143440;10205;1133235;280168;432394;101401;38746;140778;0;47368
7;Rheinland-Pfalz;Z;Zusammen;3014482;2500548;18190;2482358;462705;760623;256869;114047;498695;0;161867
7;Rheinland-Pfalz;Z;Urne;3014482;1357108;12616;1344492;230415;359276;129970;62708;347713;0;97979
7;Rheinland-Pfalz;Z;Brief;0;1143440;5574;1137866;232290;401347;126899;51339;150982;0;63888
9;Bayern;E;Zusammen;9481659;7996557;47357;7949200;1016841;0;969735;246700;1384631;3272064;366149
9;Bayern;E;Urne;9481659;3824831;27881;3796950;479962;0;436041;118492;854967;1412491;209956
9;Bayern;E;Brief;0;4171726;19476;4152250;536879;0;533694;128208;529664;1859573;156193
9;Bayern;Z;Zusammen;9481659;7996557;24503;7972054;920675;0;957435;333257;1515731;2964028;456935
9;Bayern;Z;Urne;9481659;3824831;16278;3808553;431412;0;425620;164782;922961;1263958;253462
9;Bayern;Z;Brief;0;4171726;8225;4163501;489263;0;531815;168475;592770;1700070;203473
8;Baden-Württemberg;E;Zusammen;7653811;6382446;49732;6332714;1002327;2280707;887608;271794;1231221;0;360037
8;Baden-Württemberg;E;Urne;7653811;4030608;34704;3995904;613024;1359834;498130;167980;940163;0;249387
8;Baden-Württemberg;E;Brief;0;2351838;15028;2336810;389303;920873;389478;103814;291058;0;110650
8;Baden-Württemberg;Z;Zusammen;7653811;6382446;32448;6349998;898778;2006866;865738;357539;1256430;0;429484
8;Baden-Württemberg;Z;Urne;7653811;4030608;25865;4004743;546198;1181752;482120;222429;951861;0;288584
8;Baden-Württemberg;Z;Brief;0;2351838;6583;2345255;352580;825114;383618;135110;304569;0;140900
10;Saarland;E;Zusammen;734204;605293;8051;597242;178745;177003;30477;20611;129177;0;41215
10;Saarland;E;Urne;734204;375595;5080;370515;105081;101009;15631;12574;97309;0;28011
10;Saarland;E;Brief;0;229698;2971;226727;73664;75994;14846;8037;31868;0;13204
10;Saarland;Z;Zusammen;734204;605293;5570;599723;131136;161113;43371;25725;129294;0;44080
10;Saarland;Z;Urne;734204;375595;3875;371720;75944;90156;23418;15979;97298;0;30006
10;Saarland;Z;Brief;0;229698;1695;228003;55192;70957;19953;9746;31996;0;14074
