name,Ungültige,Gültige,SPD,Union,Grüne,FDP,AfD,Linke,SSW,Die PARTEI,FREIE WÄHLER,Volt,MLPD,BÜNDNIS DEUTSCHLAND,BSW,EB:Krüger-Winands,dieBasis,Team Todenhöfer,ÖDP,PdH,Tierschutzpartei,Übrige,EB:Baasch,EB:Kisifli,PIRATEN,EB:Dröse,EB:Michalsky,EB:Krüger,EB:Manske,EB:Knauer,EB:Nietfeld,EB:Bellgardt,EB:Wolter,EB:Hönig,MENSCHLICHE WELT,MERA25,Verjüngungsforschung,EB:Schultz,EB:Krämer,EB:Müller,EB:Kohle,EB:Gliese,EB:Kersten,EB:Sanftleben,EB:Hartwig,EB:Farle,BüSo,SGP,PdF,EB:Thomas,EB:Pape,EB:Wendt,EB:Heider,WerteUnion,Bündnis C,EB:Przybylski,EB:Füllmich,EB:Link,EB:Gaisenkersting,EB:Bachmann,EB:Neurauter,EB:Martinschledde,EB:Meyer,EB:Turck,EB:Schulte,EB:Busse,EB:Mauer,EB:Schubert,EB:Jäger,EB:Reitz,EB:Wächter,EB:Sollwedel,EB:Emre,EB:Stöber,EB:Hahn,EB:Pradel,EB:Papst,EB:Horn,EB:Hösch,BP,EB:Winter,EB:Lieb,EB:Treppe,EB:Dippel,EB:Zibi,EB:Hamid,EB:Dorn,EB:Wenz,EB:Demir,EB:Miller,EB:Weißer,EB:Otterbach,EB:Raidt
Erlangen,0.284105,99.715895,13.872425,33.741031,18.010791,4.258883,14.526307,7.139546,NA,0.435097,2.551869,0.852889,0.030902,0.061186,2.964098,NA,0.304073,NA,0.343628,0.105066,0.717539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.084671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fürth,0.339097,99.660903,14.167157,34.368705,12.436022,3.897462,18.843918,6.794895,NA,0.398566,2.868035,0.683393,0.029398,0.083858,3.56444,NA,0.349408,NA,0.386035,0.077593,0.961956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.089159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nürnberg-Nord,0.408266,99.591734,15.632753,27.254998,19.690356,4.33156,12.140971,12.75787,NA,0.496173,1.168792,1.050718,0.055057,0.090877,3.733234,NA,0.27462,NA,0.323706,0.104807,0.856362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.037147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nürnberg-Süd,0.523162,99.476838,15.288224,32.254818,11.210189,3.577829,19.759226,8.581355,NA,0.42455,1.752556,0.66841,0.049947,0.102832,4.460718,NA,0.309966,NA,0.313639,0.07639,1.106182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.063168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Roth,0.296725,99.703275,13.39238,37.755574,12.149038,3.806844,18.031511,5.406808,NA,0.383584,3.63998,0.550448,0.014245,0.134305,2.990329,NA,0.333728,NA,0.334746,0.055961,0.925384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.095133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aschaffenburg,0.4572,99.5428,12.741375,38.044287,11.158407,4.420279,19.026672,6.00066,NA,0.414664,2.235692,0.763991,0.045283,0.12938,3.239684,NA,0.261348,NA,0.318276,0.071806,0.976175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.152022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bad Kissingen,0.386092,99.613908,9.661347,41.76222,7.406995,3.593394,23.039537,4.592671,NA,0.372574,4.475338,0.399822,0.018351,0.144025,2.937218,NA,0.387588,NA,0.343658,0.057832,0.682311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Main-Spessart,0.348718,99.651282,12.464976,41.109615,8.909792,3.558216,19.312737,4.895504,NA,0.364494,3.783826,0.588892,0.017588,0.133426,3.152481,NA,0.357217,NA,0.33417,0.055796,0.863627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.097643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Schweinfurt,0.367706,99.632294,11.486997,39.403113,9.105591,3.575793,21.126838,5.200037,NA,0.378888,3.894501,0.586447,0.034389,0.075532,3.252786,NA,0.418189,NA,0.344499,0.068163,0.843747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.204489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Würzburg,0.279097,99.720903,13.468043,35.794735,16.414846,4.360267,13.525374,8.20195,NA,0.37265,2.311473,1.006937,0.015114,0.082348,2.777416,NA,0.392455,NA,0.322095,0.091729,0.781783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.080784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Augsburg-Stadt,0.365976,99.634024,13.412626,28.407035,16.475213,4.117787,17.502626,10.550642,NA,0.630951,2.276439,0.691945,0.063705,0.080648,3.951069,NA,0.458134,NA,0.378164,0.093524,0.805801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Augsburg-Land,0.303662,99.696338,10.68718,39.73703,10.976689,3.993808,19.415656,4.802521,NA,0.398074,4.687924,0.390535,0.021613,0.070367,2.94233,NA,0.503121,NA,0.435268,0.060314,0.726787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.150786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Donau-Ries,0.320915,99.679085,9.354936,41.237658,7.282547,3.730055,22.627935,3.839419,NA,0.30966,6.322845,0.319491,0.012288,0.06697,3.052366,NA,0.559723,NA,0.353897,0.050381,0.74343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.136398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
