name,countryName,countryCode3,LAT,LON,continentName,birthyear,gender,industry,domain,L_star,HPI,AverageViews
Richard Zven Kruspe,Germany,DEU,53,11.75,Europe,1967,Male,MUSIC,ARTS,8.039350818,20.73027795,91666.54839
Paul Landers,Germany,DEU,52.516667,13.383333,Europe,1964,Male,MUSIC,ARTS,8.022268241,20.54227522,73822.22222
Till Lindemann,Germany,DEU,51.333333,12.383333,Europe,1963,Male,MUSIC,ARTS,7.587064303,22.08460546,204855.4848
Oliver Riedel,Germany,DEU,53.633333,11.416667,Europe,1971,Male,MUSIC,ARTS,7.866367251,19.22493159,67614.92308
Christoph Schneider,Germany,DEU,52.516667,13.383333,Europe,1966,Male,MUSIC,ARTS,7.803631371,20.21104786,74315.37037
Christian Lorenz,Germany,DEU,52.516667,13.383333,Europe,1966,Male,MUSIC,ARTS,7.581145875,20.18067795,80145.40741
Branislav Nušić,SERBIA,SRB,44.816667,20.466667,Europe,1864,Male,LANGUAGE,HUMANITIES,8.355560889,22.51680082,16147.96296
Al-Battani,Turkey,TUR,37.158333,38.791667,Asia,850,Male,MATH,SCIENCE & TECHNOLOGY,13.80502555,24.03751294,9399.966667
Anne-Sophie Mutter,Germany,DEU,47.561111,7.791667,Europe,1963,Female,MUSIC,ARTS,7.200816703,20.21722989,43465.62069
Tony Jaa,Thailand,THA,NA,NA,Asia,1976,Male,FILM AND THEATRE,ARTS,6.335941652,19.25687673,244330.9259
Neil deGrasse Tyson,UNITED STATES,USA,40.790278,-73.959722,North America,1958,Male,NATURAL SCIENCES,SCIENCE & TECHNOLOGY,2.218647082,18.40317047,151935.8621
Levon Ter-Petrossian,Syria,SYR,36.216667,37.166667,Asia,1945,Male,GOVERNMENT,INSTITUTIONS,14.5829628,21.50171517,6704.5
Adolf von Baeyer,GERMANY,DEU,52.516667,13.383333,Europe,1835,Male,NATURAL SCIENCES,SCIENCE & TECHNOLOGY,17.53255158,24.74117136,10261.73077
David Thewlis,UNITED KINGDOM,GBR,53.814167,-3.050278,Europe,1963,Male,FILM AND THEATRE,ARTS,4.754359697,20.35083879,181856.8571
Teri Hatcher,UNITED STATES,USA,37.429167,-122.138056,North America,1964,Female,FILM AND THEATRE,ARTS,5.432450176,21.97860771,209942.8
Ivan Konev,Russia,RUS,NA,NA,Europe,1897,Male,MILITARY,INSTITUTIONS,13.26205154,24.53137775,19843.725
Giacomo Barozzi da Vignola,ITALY,ITA,44.466667,11,Europe,1507,Male,DESIGN,ARTS,10.13122756,24.52968724,16253.10714
Michel Butor,France,FRA,50.633,3.117,Europe,1926,Male,LANGUAGE,HUMANITIES,6.194412333,22.6603679,18570.7037
Sandra,Germany,DEU,49.233333,7,Europe,1962,Female,MUSIC,ARTS,7.106543068,19.86455512,22936.90909
Leonid Govorov,Russia,RUS,NA,NA,Europe,1897,Male,MILITARY,INSTITUTIONS,12.51938389,22.60203672,6988.724138
