name,countryName,countryCode3,LAT,LON,continentName,birthyear,gender,industry,domain,L_star,HPI,AverageViews
Abraham Lincoln,UNITED STATES,USA,37.571111,-85.738611,North America,1809,Male,GOVERNMENT,INSTITUTIONS,5.801386687,27.93858549,504925.2748
Aristotle,Greece,GRC,40.333333,23.5,Europe,-384,Male,PHILOSOPHY,HUMANITIES,11.91459682,31.99379508,370757.7105
Ayn Rand,Russia,RUS,59.95,30.3,Europe,1905,Female,LANGUAGE,HUMANITIES,3.175684852,24.32593556,258331.2364
Andre Agassi,UNITED STATES,USA,36.121514,-115.173851,North America,1970,Male,INDIVIDUAL SPORTS,SPORTS,6.242524524,20.92599929,162956.9565
Aldous Huxley,UNITED KINGDOM,GBR,51.185,-0.61,Europe,1894,Male,LANGUAGE,HUMANITIES,6.219842058,25.99660548,149498.7097
Andrei Tarkovsky,Russia,RUS,NA,NA,Europe,1932,Male,FILM AND THEATRE,ARTS,9.298781801,25.24470117,78511.82353
Arthur Schopenhauer,POLAND,POL,54.35,18.633333,Europe,1788,Male,PHILOSOPHY,HUMANITIES,12.66621467,27.7760199,147123.7975
Albert Einstein,Germany,DEU,48.4,9.983333,Europe,1879,Male,NATURAL SCIENCES,SCIENCE & TECHNOLOGY,11.50120142,30.21061426,540789.6988
Alexander the Great,Greece,GRC,40.8,22.516667,Europe,-356,Male,MILITARY,INSTITUTIONS,11.18240645,31.58395203,350421.3623
Alfred Hitchcock,UNITED KINGDOM,GBR,51.569,0.01,Europe,1899,Male,FILM AND THEATRE,ARTS,8.349060938,27.17598213,232167.01
Attila the Hun,Hungary,HUN,NA,NA,Europe,406,Male,GOVERNMENT,INSTITUTIONS,13.97581312,29.24332716,134013.2892
Alfred Nobel,SWEDEN,SWE,59.329444,18.068611,Europe,1833,Male,NATURAL SCIENCES,SCIENCE & TECHNOLOGY,13.78529862,27.64615987,110079.1468
Alexander Graham Bell,UNITED KINGDOM,GBR,55.953056,-3.188889,Europe,1847,Male,INVENTION,SCIENCE & TECHNOLOGY,8.199693285,26.92276279,202016.1702
Andy Warhol,UNITED STATES,USA,40.439722,-79.976389,North America,1928,Male,FINE ARTS,ARTS,7.526343155,27.91983828,343545.84
Alp Arslan,Unknown,UNK,NA,NA,Unknown,1029,Male,GOVERNMENT,INSTITUTIONS,8.817610992,25.74359669,29299.87179
Akira Kurosawa,JAPAN,JPN,35.6,139.733333,Asia,1910,Male,FILM AND THEATRE,ARTS,9.490106699,26.23577062,96410.39216
Anna Kournikova,Russia,RUS,55.75,37.616667,Europe,1981,Female,INDIVIDUAL SPORTS,SPORTS,4.604698116,18.37364131,157460.0179
Andrey Markov,Russia,RUS,54.6,39.7,Europe,1856,Male,MATH,SCIENCE & TECHNOLOGY,4.747322194,22.28780154,13355.25
A. A. Milne,UNITED KINGDOM,GBR,51.5541,-0.1744,Europe,1882,Male,LANGUAGE,HUMANITIES,4.204541679,23.13392116,67520.90909
Melvil Dewey,United States,USA,43.862222,-76.006944,North America,1851,Male,INVENTION,SCIENCE & TECHNOLOGY,4.968268639,22.4538746,23458.93103
Albert Speer,GERMANY,DEU,49.488889,8.469167,Europe,1905,Male,DESIGN,ARTS,6.818185968,25.99869344,148554.8462
Ada Lovelace,UNITED KINGDOM,GBR,51.507222,-0.1275,Europe,1815,Female,MATH,SCIENCE & TECHNOLOGY,8.682734334,24.19188341,216760.9672
Albert Camus,ALGERIA,DZA,36.683333,7.75,Africa,1913,Male,LANGUAGE,HUMANITIES,10.40740845,26.68507129,190440.9053
Agatha Christie,UNITED KINGDOM,GBR,50.4792,-3.5305,Europe,1890,Female,LANGUAGE,HUMANITIES,12.70760109,27.09011545,214294.3846
Aaron,Egypt,EGY,NA,NA,Africa,-1400,Male,RELIGION,INSTITUTIONS,6.4515323,27.60209372,47783.89831
Allen Ginsberg,UNITED STATES,USA,40.72422,-74.172574,North America,1926,Male,LANGUAGE,HUMANITIES,4.542438474,24.90590029,137201.7885
Anatoly Karpov,Russia,RUS,55.166667,59.666667,Europe,1951,Male,INDIVIDUAL SPORTS,SPORTS,10.07661917,22.97518017,31800.29091
Aristophanes,Greece,GRC,37.96666667,23.71666667,Europe,-446,Male,LANGUAGE,HUMANITIES,11.46674107,28.72133392,69180.79412
Albert Schweitzer,France,FRA,48.1394,7.2614,Europe,1875,Male,MEDICINE,SCIENCE & TECHNOLOGY,8.772934798,26.49885332,93839.24194
Alexis Carrel,France,FRA,45.73,4.8,Europe,1873,Male,MEDICINE,SCIENCE & TECHNOLOGY,11.54356514,24.22920885,19946.55814
Anatole France,FRANCE,FRA,48.8567,2.3508,Europe,1844,Male,LANGUAGE,HUMANITIES,13.12367909,26.31231176,31317.45714
André Gide,FRANCE,FRA,48.8567,2.3508,Europe,1869,Male,LANGUAGE,HUMANITIES,11.51503978,26.52855152,48181.98485
Avicenna,UZBEKISTAN,UZB,39.766667,64.433333,Asia,980,Male,PHILOSOPHY,HUMANITIES,12.30747461,28.89172648,98299.5
Augustin-Jean Fresnel,France,FRA,49.0094,0.5303,Europe,1788,Male,NATURAL SCIENCES,SCIENCE & TECHNOLOGY,11.95308594,24.88926142,16025.26829
Anaximander,Turkey,TUR,37.530278,27.278333,Asia,-610,Male,PHILOSOPHY,HUMANITIES,8.929602653,28.12119429,61082.05714
Aleister Crowley,UNITED KINGDOM,GBR,52.292,-1.537,Europe,1875,Male,RELIGION,INSTITUTIONS,5.820401277,26.74577909,331072.8723
Alan Turing,UNITED KINGDOM,GBR,51.5274,-0.1899,Europe,1912,Male,COMPUTER SCIENCE,SCIENCE & TECHNOLOGY,9.422714896,24.98917589,166646.3981
Alexander Mackenzie,UNITED KINGDOM,GBR,56.647558,-3.679711,Europe,1822,Male,GOVERNMENT,INSTITUTIONS,1.536693073,19.04029498,17239.76923
Ashoka,India,IND,NA,NA,Asia,-304,Male,GOVERNMENT,INSTITUTIONS,6.087364259,26.73672242,57844.68539
Alfonso Cuarón,MEXICO,MEX,19.433333,-99.133333,North America,1961,Male,FILM AND THEATRE,ARTS,4.321254305,18.87219943,89554.37931
Antoninus Pius,ITALY,ITA,41.674696,12.69758,Europe,86,Male,GOVERNMENT,INSTITUTIONS,13.8016845,27.77668848,36927.15873
Augustus,ITALY,ITA,41.9,12.5,Europe,-63,Male,GOVERNMENT,INSTITUTIONS,10.51722923,30.41951894,173569.7692
André-Marie Ampère,FRANCE,FRA,45.76,4.84,Europe,1775,Male,NATURAL SCIENCES,SCIENCE & TECHNOLOGY,11.8935896,26.77275072,45508.97368
Ambrose,GERMANY,DEU,49.75,6.633333,Europe,337,Male,RELIGION,INSTITUTIONS,9.875295437,26.86852989,45158.54545
Ahab,Israel,ISR,32.14306,35.26062,Asia,-900,Male,GOVERNMENT,INSTITUTIONS,5.822131594,25.27555813,31400
Alcuin,UNITED KINGDOM,GBR,53.958333,-1.080278,Europe,735,Male,PHILOSOPHY,HUMANITIES,10.01901004,25.82465838,23719.12821
Antonio Vivaldi,ITALY,ITA,45.4375,12.335833,Europe,1678,Male,MUSIC,ARTS,13.57765229,27.8898214,154078.8058
Abraham,Unknown,NA,33.7,43.5,NA,-1800,Male,RELIGION,INSTITUTIONS,10.73163628,30.60465403,169758.819
Absalom,Palestine,PSE,31.533333,35.095,Asia,-3500,Male,RELIGION,INSTITUTIONS,6.579169688,26.11354202,44115.71429
Alfred Russel Wallace,UNITED KINGDOM,GBR,51.695833,-2.904167,Europe,1823,Male,NATURAL SCIENCES,SCIENCE & TECHNOLOGY,6.47600417,25.03659519,60085
"Albert I, Duke of Prussia",Germany,DEU,49.3,10.583333,Europe,1490,Male,GOVERNMENT,INSTITUTIONS,14.23594727,23.04134854,3868.321429
Ahmed I,Turkey,TUR,38.630556,27.422222,Asia,1590,Male,GOVERNMENT,INSTITUTIONS,15.43826315,24.96249107,24891.33333
Ahmed II,Turkey,TUR,41.013,28.984,Asia,1643,Male,GOVERNMENT,INSTITUTIONS,17.62495235,24.41043518,14719.66667
Ahmed III,Bulgaria,BGR,43.566667,27.833333,Europe,1673,Male,GOVERNMENT,INSTITUTIONS,14.28283699,24.55621575,20398.84444
Agesilaus II,Greece,GRC,37.081944,22.423611,Europe,-444,Male,GOVERNMENT,INSTITUTIONS,10.41450521,25.1741122,11214.06667
Agrippina the Younger,GERMANY,DEU,50.936389,6.952778,Europe,15,Female,GOVERNMENT,INSTITUTIONS,8.318909152,26.37543304,52002.41176
Ahmed Shah Abdali,AFGHANISTAN,AFG,34.341944,62.203056,Asia,1722,Male,GOVERNMENT,INSTITUTIONS,4.986977278,22.49586619,18629.78378
Alaric I,Romania,ROU,NA,NA,Europe,370,Male,GOVERNMENT,INSTITUTIONS,9.91868912,26.82538974,34841.48077
Alaric II,Romania,ROU,NA,NA,Europe,450,Male,GOVERNMENT,INSTITUTIONS,13.532822,25.07184306,10636
Albertus Magnus,GERMANY,DEU,48.566667,10.433333,Europe,1193,Male,RELIGION,INSTITUTIONS,11.0076645,26.75354666,39979.61404
Alboin,HUNGARY,HUN,44.9,19.02,Europe,NA,Male,GOVERNMENT,INSTITUTIONS,8.528973751,23.92192554,14617.74194
Afonso de Albuquerque,Portugal,PRT,38.95,-8.983333,Europe,1453,Male,GOVERNMENT,INSTITUTIONS,8.567428844,24.36005082,24533.48571
Alcaeus,GREECE,GRC,39.1,26.55,Europe,-620,Male,LANGUAGE,HUMANITIES,13.19392704,25.98267397,13852.02703
Alexander Balas,Turkey,TUR,38.418611,27.139167,Asia,-200,Male,GOVERNMENT,INSTITUTIONS,10.5118967,24.17935199,5992.703704
Alexander II of Russia,Russia,RUS,NA,NA,Europe,1818,Male,GOVERNMENT,INSTITUTIONS,6.088541566,26.18597625,109018.2258
Alexander III of Russia,Russia,RUS,59.95,30.3,Europe,1845,Male,GOVERNMENT,INSTITUTIONS,6.426846599,25.89702144,83212
Alexander I of Scotland,UNITED KINGDOM,GBR,56.07192,-3.4393,Europe,1078,Male,GOVERNMENT,INSTITUTIONS,4.34415717,22.69274299,9335.666667
Alexander II of Scotland,United Kingdom,GBR,55.955621,-2.778815,Europe,1198,Male,GOVERNMENT,INSTITUTIONS,3.46689866,22.4732365,10149.46875
Alexander I of Serbia,SERBIA,SRB,44.816667,20.466667,Europe,1876,Male,GOVERNMENT,INSTITUTIONS,11.16303401,22.56057841,18238.17857
Alexander III of Scotland,United Kingdom,GBR,55.5965,-2.4562,Europe,1241,Male,GOVERNMENT,INSTITUTIONS,2.982732811,22.56296824,16821.93333
Alexander Severus,Lebanon,LBN,34.530556,36.045833,Asia,208,Male,GOVERNMENT,INSTITUTIONS,12.830905,26.62963749,28665.7
Alexios I Komnenos,Turkey,TUR,41,28.966667,Asia,1048,Male,GOVERNMENT,INSTITUTIONS,11.38799549,25.74453467,19566.34615
Alexios II Komnenos,Turkey,TUR,41.01224,28.976018,Asia,1169,Male,GOVERNMENT,INSTITUTIONS,11.1242788,24.20252808,9262.935484
Alexios III Angelos,Turkey,TUR,NA,NA,Asia,1153,Male,GOVERNMENT,INSTITUTIONS,12.67566637,24.3554065,9021.029412
Alexios V,Unknown,UNK,NA,NA,Unknown,1150,Male,GOVERNMENT,INSTITUTIONS,12.95379861,23.86092511,8870.612903
Andrew Jackson,United States,USA,NA,NA,North America,1767,Male,GOVERNMENT,INSTITUTIONS,2.843824636,25.35508721,143327.5161
Andrew Johnson,UNITED STATES,USA,35.780556,-78.638889,North America,1808,Male,GOVERNMENT,INSTITUTIONS,3.657924525,25.03865625,85820.6
Aleksandr Solzhenitsyn,Russia,RUS,43.916667,42.716667,Europe,1918,Male,LANGUAGE,HUMANITIES,12.1638732,25.3365328,49846.02198
Alfred the Great,United Kingdom,GBR,51.589,-1.427,Europe,849,Male,GOVERNMENT,INSTITUTIONS,5.484130746,26.49813804,70024.16949
Ibn al-Haitham,Iraq,IRQ,30.5,47.816667,Asia,965,Male,NATURAL SCIENCES,SCIENCE & TECHNOLOGY,6.02409005,25.19514353,59589.81132
Alyattes II,Unknown,UNK,NA,NA,Unknown,-619,Male,GOVERNMENT,INSTITUTIONS,17.14121182,24.27789086,4119.230769
Amalasuntha,Italy,ITA,NA,NA,Europe,495,Female,COMPANIONS,PUBLIC FIGURE,11.91486413,24.89229701,10520.93333
Afonso I of Portugal,PORTUGAL,PRT,41.45,-8.3,Europe,1109,Male,GOVERNMENT,INSTITUTIONS,5.507207771,25.74083248,31310.33333
Afonso II of Portugal,PORTUGAL,PRT,40.211111,-8.429167,Europe,1185,Male,GOVERNMENT,INSTITUTIONS,7.376496332,24.21310801,12430.96429
Afonso III of Portugal,PORTUGAL,PRT,40.211111,-8.429167,Europe,1210,Male,GOVERNMENT,INSTITUTIONS,7.131772375,24.15942763,15735.17241
Afonso IV of Portugal,PORTUGAL,PRT,38.713889,-9.139444,Europe,1291,Male,GOVERNMENT,INSTITUTIONS,6.751186611,24.05310877,11536.54839
Afonso V of Portugal,Portugal,PRT,38.797778,-9.390833,Europe,1432,Male,GOVERNMENT,INSTITUTIONS,6.903264228,23.56300313,21701.69231
Alfonso XII of Spain,SPAIN,ESP,40.4,-3.683333,Europe,1857,Male,GOVERNMENT,INSTITUTIONS,5.181490707,24.27946034,39726.48837
Alfonso XIII of Spain,Spain,ESP,40.4,-3.683333,Europe,1886,Male,GOVERNMENT,INSTITUTIONS,6.204733563,24.86073526,60057.09434
Alfonso V of Aragon,SPAIN,ESP,41.3,-4.916667,Europe,1396,Male,GOVERNMENT,INSTITUTIONS,6.912841741,24.2044769,22328.21429
Ambiorix,Belgium,BEL,NA,NA,Europe,-100,Male,GOVERNMENT,INSTITUTIONS,8.108830469,24.50953511,12219.11111
Abu Bakr,SAUDI ARABIA,SAU,21.416667,39.816667,Asia,573,Male,RELIGION,INSTITUTIONS,9.934881012,27.20399014,50516.26923
Ananda,Unknown,UNK,NA,NA,Unknown,-573,Male,RELIGION,INSTITUTIONS,7.371882294,25.9022039,30850.61765
Anaxagoras,Turkey,TUR,38.358167,26.767583,Asia,-500,Male,PHILOSOPHY,HUMANITIES,10.80941456,27.8563984,40776.8871
Anaximenes of Miletus,Turkey,TUR,37.530278,27.278333,Asia,-585,Male,PHILOSOPHY,HUMANITIES,7.643850001,27.36729233,45913.27419
Ancus Marcius,Italy,ITA,NA,NA,Europe,-700,Male,GOVERNMENT,INSTITUTIONS,12.86593041,26.24905903,17747.58824
Andrew II of Hungary,Hungary,HUN,47.785556,18.740278,Europe,1177,Male,GOVERNMENT,INSTITUTIONS,10.27732153,24.376420800000002,17577.7
Andronikos III Palaiologos,Turkey,TUR,41.01224,28.976018,Asia,1297,Male,GOVERNMENT,INSTITUTIONS,12.81932428,24.32138989,8791.657143
Andronikos II Palaiologos,Turkey,TUR,40.429167,29.721111,Asia,1259,Male,GOVERNMENT,INSTITUTIONS,12.61995478,24.5234321,9956.945946
Andronikos I Komnenos,Turkey,TUR,41.01224,28.976018,Asia,1118,Male,GOVERNMENT,INSTITUTIONS,11.51421017,24.91866652,11690.725
Ammianus Marcellinus,Turkey,TUR,36.2,36.15,Asia,320,Male,LANGUAGE,HUMANITIES,12.99251758,26.39929066,14124.77083
Apuleius,Algeria,DZA,NA,NA,Africa,120,Male,LANGUAGE,HUMANITIES,11.46890965,26.85517022,28109.79167
Alexander Selkirk,UNITED KINGDOM,GBR,56.214,-2.941,Europe,1676,Male,OUTLAWS,PUBLIC FIGURE,6.870783607,23.82673521,51002.22581
Arnold Schwarzenegger,AUSTRIA,AUT,47.078333,15.354167,Europe,1947,Male,FILM AND THEATRE,ARTS,6.814016438,26.93705727,626488.4023
Adam Smith,UNITED KINGDOM,GBR,56.11073,-3.16737,Europe,1723,Male,SOCIAL SCIENCES,SCIENCE & TECHNOLOGY,10.31385132,29.01054945,183744.7477
Antoine Lavoisier,FRANCE,FRA,48.8567,2.3508,Europe,1743,Male,NATURAL SCIENCES,SCIENCE & TECHNOLOGY,8.649364907,27.11173497,126016.0133
Amitabh Bachchan,India,IND,25.45,81.85,Asia,1942,Male,FILM AND THEATRE,ARTS,2.174105804,23.07584302,239268.5179
Agathocles of Syracuse,Italy,ITA,37.5,14,Europe,-361,Male,GOVERNMENT,INSTITUTIONS,11.68212564,24.21790548,9676.615385
Augustin Louis Cauchy,FRANCE,FRA,48.8567,2.3508,Europe,1789,Male,MATH,SCIENCE & TECHNOLOGY,15.26950662,25.48861979,25945.26
Archimedes,Italy,ITA,37.083333,15.283333,Europe,-287,Male,MATH,SCIENCE & TECHNOLOGY,13.38225217,30.99069732,170713.7752
Alfred Jarry,France,FRA,48.0733,-0.7689,Europe,1873,Male,LANGUAGE,HUMANITIES,7.618918809,24.35812157,38582.21875
Anthemius of Tralles,TURKEY,TUR,37.848056,27.845278,Asia,474,Male,MATH,SCIENCE & TECHNOLOGY,9.190760924,23.74399411,7977.928571
Alessandro Volta,ITALY,ITA,45.816667,9.083333,Europe,1745,Male,NATURAL SCIENCES,SCIENCE & TECHNOLOGY,10.95807753,27.34572591,93150.15068
Alexander Fleming,United Kingdom,GBR,NA,NA,Europe,1881,Male,NATURAL SCIENCES,SCIENCE & TECHNOLOGY,9.239283124,26.88210337,115845.3951
Andrew Carnegie,United Kingdom,GBR,NA,NA,Europe,1835,Male,BUSINESS,BUSINESS & LAW,3.01215814,23.8708565,167277.94
Abel Tasman,NETHERLANDS,NLD,53.233333,6.257778,Europe,1603,Male,EXPLORERS,EXPLORATION,10.39811045,25.94326955,26015.17143
Alvar Aalto,FINLAND,FIN,62.808333,23.508333,Europe,1898,Male,DESIGN,ARTS,12.25795699,26.34853864,53048.45161
A.J. Ayer,United Kingdom,GBR,51.5,-0.116667,Europe,1910,Male,PHILOSOPHY,HUMANITIES,6.960290839,21.9843251,16680.4375
Atle Selberg,NORWAY,NOR,59,9.75,Europe,1917,Male,MATH,SCIENCE & TECHNOLOGY,11.41245531,22.59187258,7836.666667
Aeschylus,Greece,GRC,38.033333,23.533333,Europe,-525,Male,LANGUAGE,HUMANITIES,11.7007718,29.09962779,84204.56757
Andrew Wiles,United Kingdom,GBR,52.205,0.119,Europe,1953,Male,MATH,SCIENCE & TECHNOLOGY,8.617446743,22.12957571,54858.42857
Anne Brontë,United Kingdom,GBR,53.7898,-1.8504,Europe,1820,Female,LANGUAGE,HUMANITIES,7.194694758,24.41483622,28826.26
Augustine of Hippo,Algeria,DZA,NA,NA,Africa,354,Male,PHILOSOPHY,HUMANITIES,9.798263893,29.8872383,166036.0095
Alexander Grothendieck,Germany,DEU,52.516667,13.383333,Europe,1928,Male,MATH,SCIENCE & TECHNOLOGY,5.790138502,22.49068801,34117.07143
Amerigo Vespucci,ITALY,ITA,43.783333,11.25,Europe,1454,Male,EXPLORERS,EXPLORATION,9.476075111,27.50074308,121999.9697
Aristide Maillol,France,FRA,42.4831,3.1281,Europe,1861,Male,FINE ARTS,ARTS,9.669916449,23.374427,18309.24138
Antonio Canova,Italy,ITA,45.85,11.883333,Europe,1757,Male,FINE ARTS,ARTS,7.9250942,25.6678512,59902.47619
Auguste Rodin,FRANCE,FRA,48.8567,2.3508,Europe,1840,Male,FINE ARTS,ARTS,12.2960023,25.18118327,152660.942
Adam Weishaupt,Germany,DEU,48.766667,11.433333,Europe,1748,Male,PHILOSOPHY,HUMANITIES,6.023507975,23.93439762,81177.5
Adalbert of Prague,CZECH REPUBLIC,CZE,50.127778,15.180278,Europe,956,Male,RELIGION,INSTITUTIONS,3.535055705,24.84646451,52831.25806
Joseph Henry,UNITED STATES,USA,42.6525,-73.757222,North America,1797,Male,NATURAL SCIENCES,SCIENCE & TECHNOLOGY,7.78857517,23.50731249,24602.55263
Anton Drexler,Germany,DEU,48.133333,11.566667,Europe,1884,Male,GOVERNMENT,INSTITUTIONS,7.856007972,23.11464582,34828.19231
Ahmed Shah Massoud,Afghanistan,AFG,NA,NA,Asia,1953,Male,GOVERNMENT,INSTITUTIONS,6.989962291,22.32674999,65831.13953
Arcadius,Spain,ESP,40.433333,-3.7,Europe,370,Male,GOVERNMENT,INSTITUTIONS,13.95388841,26.68381151,14982.12963
Aage Niels Bohr,DENMARK,DNK,55.676111,12.568333,Europe,1922,Male,NATURAL SCIENCES,SCIENCE & TECHNOLOGY,17.36305102,23.07579395,15819.95918
Antipope John XXIII,Italy,ITA,41.9,12.483333,Europe,1370,Male,RELIGION,INSTITUTIONS,3.976766335,21.90064061,22257.2
Antonio Salieri,ITALY,ITA,45.194444,11.3125,Europe,1750,Male,MUSIC,ARTS,9.426118465,26.37723755,87368.71154
Arthur Stanley Eddington,UNITED KINGDOM,GBR,54.326,-2.745,Europe,1882,Male,NATURAL SCIENCES,SCIENCE & TECHNOLOGY,10.61848958,23.4465988,23660.30556
Paul Krugman,UNITED STATES,USA,42.6525,-73.757222,North America,1953,Male,SOCIAL SCIENCES,SCIENCE & TECHNOLOGY,5.033821337,21.96687857,98581.98148
Antipope Felix II,Unknown,UNK,NA,NA,Unknown,300,Male,RELIGION,INSTITUTIONS,8.153320849,22.62300393,5335.555556
Alessandro Scarlatti,ITALY,ITA,38.116667,13.366667,Europe,1660,Male,MUSIC,ARTS,11.29901929,25.44008727,24419.25581
Alois Alzheimer,GERMANY,DEU,49.666944,10.143611,Europe,1864,Male,MEDICINE,SCIENCE & TECHNOLOGY,11.90432205,24.77409335,25423.73333
Akio Morita,JAPAN,JPN,35.183333,136.9,Asia,1921,Male,BUSINESS,BUSINESS & LAW,4.90390799,23.32119806,57276.61538
Anthony Hopkins,United Kingdom,GBR,51.574444,-3.752778,Europe,1937,Male,FILM AND THEATRE,ARTS,7.612417601,26.31669692,247001.3231
Albrecht Dürer,Germany,DEU,49.45,11.083333,Europe,1471,Male,FINE ARTS,ARTS,11.03817507,28.81835925,91184.82143
Alban Berg,AUSTRIA,AUT,48.2,16.366667,Europe,1885,Male,MUSIC,ARTS,10.74676458,25.29831996,40962.11905
Aurangzeb,INDIA,IND,22.866667,74.25,Asia,1618,Male,GOVERNMENT,INSTITUTIONS,2.716591514,22.68873712,75305.24444
Alberto Giacometti,SWITZERLAND,CHE,46.35,9.6,Europe,1901,Male,FINE ARTS,ARTS,7.181852458,24.2742091,92276.72222
Albrecht Altdorfer,GERMANY,DEU,49.016667,12.083333,Europe,1480,Male,FINE ARTS,ARTS,10.841973,24.87889959,14217.47368
Anton Chekhov,Russia,RUS,47.216667,38.916667,Europe,1860,Male,LANGUAGE,HUMANITIES,14.58667735,27.95507799,84795.09091
"Arnulf of Carinthia, Holy Roman Emperor",Unknown,UNK,NA,NA,Unknown,850,Male,GOVERNMENT,INSTITUTIONS,11.13876797,25.8183102,13683.14286
Alexander Kerensky,Russia,RUS,54.316667,48.366667,Europe,1881,Male,GOVERNMENT,INSTITUTIONS,9.412361817,24.80718575,39870.62745
Ansgar,FRANCE,FRA,49.892,2.299,Europe,801,Male,RELIGION,INSTITUTIONS,6.611603483,23.81485145,11448.44828
Adam of Bremen,Germany,DEU,NA,NA,Europe,1050,Male,LANGUAGE,HUMANITIES,11.59468081,25.14425463,12334.48485
André the Giant,FRANCE,FRA,45.2002,5.7222,Europe,1946,Male,INDIVIDUAL SPORTS,SPORTS,3.361501487,22.77082745,369799.8333
Abbas II of Egypt,Egypt,EGY,31.2,29.916667,Africa,1874,Male,GOVERNMENT,INSTITUTIONS,8.998121205,22.8172948,15444.48276
Abd ar-Rahman I,ISRAEL,ISR,32.862411,35.371169,Asia,731,Male,GOVERNMENT,INSTITUTIONS,8.892268569,25.17878454,21573.16216
Abd-ar-Rahman III,Spain,ESP,37.883333,-4.766667,Europe,912,Male,GOVERNMENT,INSTITUTIONS,7.682142867,24.73699913,24159.41176
Abdülâziz,TURKEY,TUR,41.013611,28.955,Asia,1830,Male,GOVERNMENT,INSTITUTIONS,9.68424842,24.41653475,26472.5
‘Abdu’l-Hamid I,Turkey,TUR,41.01224,28.976018,Asia,1725,Male,GOVERNMENT,INSTITUTIONS,18.63141277,24.675221,13666.66667
Abdur Rahman Khan,Afghanistan,AFG,34.533333,69.166667,Asia,1844,Male,GOVERNMENT,INSTITUTIONS,5.749305227,22.02934996,14325.96154
Anders Celsius,SWEDEN,SWE,59.858056,17.644722,Europe,1701,Male,NATURAL SCIENCES,SCIENCE & TECHNOLOGY,15.36174965,26.70446258,38838.53968
Andrei Sakharov,Russia,RUS,55.75,37.616667,Europe,1921,Male,NATURAL SCIENCES,SCIENCE & TECHNOLOGY,11.74899333,25.06881432,33638.09524
Aron Nimzowitsch,LATVIA,LVA,56.948889,24.106389,Europe,1886,Male,LANGUAGE,HUMANITIES,9.549642916,22.98867474,12119.58621
Aung San Suu Kyi,NA,MMR,16.8,96.15,Asia,1945,Female,ACTIVISM,PUBLIC FIGURE,7.621078789,24.85515312,137039.2892
"Archduke Charles, Duke of Teschen",ITALY,ITA,43.783333,11.25,Europe,1771,Male,GOVERNMENT,INSTITUTIONS,8.731625793,23.72577346,13410.2069
Augustine of Canterbury,ITALY,ITA,41.9,12.5,Europe,630,Male,RELIGION,INSTITUTIONS,5.982918327,24.50968059,26142.88889
Amr Diab,EGYPT,EGY,31.26,32.29,Africa,1961,Male,MUSIC,ARTS,5.283326947,20.61639628,101020.5385
Anaïs Nin,FRANCE,FRA,48.8881,2.2686,Europe,1903,Female,LANGUAGE,HUMANITIES,4.778351487,24.08920242,123942.697
Ariel Sharon,Israel,ISR,32.1679,34.895097,Asia,1928,Male,GOVERNMENT,INSTITUTIONS,8.994186281,26.03475525,132964.6923
Alexey Pazhitnov,Russia,RUS,55.75,37.616667,Europe,1956,Male,COMPUTER SCIENCE,SCIENCE & TECHNOLOGY,4.649593437,19.00383388,28609.55172
`Abdu'l-Bahá,Iran,IRN,35.696111,51.423056,Asia,1844,Male,RELIGION,INSTITUTIONS,4.985015832,21.57294832,16858.17857
Akira Toriyama,JAPAN,JPN,35.183333,136.9,Asia,1955,Male,DESIGN,ARTS,6.675806044,23.43309315,298591.871
Alec Baldwin,UNITED STATES,USA,40.671667,-73.415,North America,1958,Male,FILM AND THEATRE,ARTS,3.801864614,22.56023633,331334.1
Adolphe Sax,BELGIUM,BEL,50.266667,4.916667,Europe,1814,Male,INVENTION,SCIENCE & TECHNOLOGY,11.29983014,24.93354628,26960.70455
Kirk Douglas,UNITED STATES,USA,42.95,-74.183333,North America,1916,Male,FILM AND THEATRE,ARTS,5.746617772,25.37223593,294836
Athanasius of Alexandria,Egypt,EGY,31.2,29.916667,Africa,296,Male,PHILOSOPHY,HUMANITIES,9.243121167,25.99202469,31380.97917
Anthony the Great,Egypt,EGY,29.085556,30.934444,Africa,251,Male,RELIGION,INSTITUTIONS,10.48402355,26.57172624,56336.76
Bill Clinton,UNITED STATES,USA,33.667778,-93.59,North America,1946,Male,GOVERNMENT,INSTITUTIONS,5.048723372,26.27300621,263930.3983
Britney Spears,UNITED STATES,USA,31.244472,-90.471592,North America,1981,Female,MUSIC,ARTS,7.014087594,22.19322186,622072.4043
Gautama Buddha,Nepal,NPL,27.533333,83.05,Asia,-563,Male,PHILOSOPHY,HUMANITIES,8.08259386,30.04180984,191010.7419
Baruch Spinoza,NETHERLANDS,NLD,52.366667,4.9,Europe,1632,Male,PHILOSOPHY,HUMANITIES,11.33574492,28.01430167,103413.9762
Bjarne Stroustrup,DENMARK,DNK,56.1572,10.2107,Europe,1950,Male,ENGINEERING,SCIENCE & TECHNOLOGY,6.29078047,22.11056392,35851.74359
Björn Ulvaeus,SWEDEN,SWE,57.7,11.966667,Europe,1945,Male,MUSIC,ARTS,8.064524314,23.94930094,97317.94118
Benny Andersson,SWEDEN,SWE,59.3575,17.87,Europe,1946,Male,MUSIC,ARTS,8.457245213,23.96603271,100006.9118
Bill Gates,UNITED STATES,USA,47.609722,-122.333056,North America,1955,Male,BUSINESS,BUSINESS & LAW,7.804876131,26.34771663,440780.5691
